,area,centro,2017,2018,2019,2020,media
0,,CCHLA,0,0,0,0,0.0
1,,CCHSA,0,0,0,0,0.0
2,,CCJ,0,0,0,0,0.0
3,,CCS,0,0,0,0,0.0
4,,CT,0,0,0,0,0.0
5,,CCM,0,0,0,0,0.0
6,,CI,0,0,0,0,0.0
7,,CCAE,0,0,0,0,0.0
8,,CCEN,0,0,0,0,0.0
9,,CCA,0,0,0,0,0.0
10,,CBIOTEC,0,0,0,0,0.0
11,,CCSA,0,0,0,0,0.0
12,,CCTA,0,0,0,0,0.0
13,,CEAR,0,0,0,0,0.0
14,,CE,0,0,0,0,0.0
15,,CTDR,0,0,0,0,0.0
16,Ciências Exatas e da Terra,CCHLA,0,0,0,0,0.0
17,Ciências Exatas e da Terra,CCHSA,1,2,1,2,1.5
18,Ciências Exatas e da Terra,CCJ,0,0,0,0,0.0
19,Ciências Exatas e da Terra,CCS,0,0,0,0,0.0
20,Ciências Exatas e da Terra,CT,1,0,0,0,0.25
21,Ciências Exatas e da Terra,CCM,0,0,0,0,0.0
22,Ciências Exatas e da Terra,CI,6,7,6,7,6.5
23,Ciências Exatas e da Terra,CCAE,2,7,6,8,5.75
24,Ciências Exatas e da Terra,CCEN,4,5,4,7,5.0
25,Ciências Exatas e da Terra,CCA,5,6,3,2,4.0
26,Ciências Exatas e da Terra,CBIOTEC,0,0,0,0,0.0
27,Ciências Exatas e da Terra,CCSA,0,0,0,0,0.0
28,Ciências Exatas e da Terra,CCTA,0,0,0,0,0.0
29,Ciências Exatas e da Terra,CEAR,0,1,1,0,0.5
30,Ciências Exatas e da Terra,CE,0,0,0,0,0.0
31,Ciências Exatas e da Terra,CTDR,3,1,0,0,1.0
32,Ciências Sociais Aplicadas,CCHLA,1,3,3,3,2.5
33,Ciências Sociais Aplicadas,CCHSA,6,7,5,7,6.25
34,Ciências Sociais Aplicadas,CCJ,10,9,16,16,12.75
35,Ciências Sociais Aplicadas,CCS,0,0,0,0,0.0
36,Ciências Sociais Aplicadas,CT,3,5,6,5,4.75
37,Ciências Sociais Aplicadas,CCM,0,0,1,0,0.25
38,Ciências Sociais Aplicadas,CI,0,1,0,0,0.25
39,Ciências Sociais Aplicadas,CCAE,10,8,9,11,9.5
40,Ciências Sociais Aplicadas,CCEN,0,1,1,0,0.5
41,Ciências Sociais Aplicadas,CCA,1,0,0,2,0.75
42,Ciências Sociais Aplicadas,CBIOTEC,0,0,0,0,0.0
43,Ciências Sociais Aplicadas,CCSA,22,23,12,22,19.75
44,Ciências Sociais Aplicadas,CCTA,4,3,8,12,6.75
45,Ciências Sociais Aplicadas,CEAR,0,0,0,0,0.0
46,Ciências Sociais Aplicadas,CE,0,0,0,1,0.25
47,Ciências Sociais Aplicadas,CTDR,1,1,4,5,2.75
48,Ciências da Saúde,CCHLA,4,3,6,2,3.75
49,Ciências da Saúde,CCHSA,2,1,0,0,0.75
50,Ciências da Saúde,CCJ,0,0,0,0,0.0
51,Ciências da Saúde,CCS,107,121,119,133,120.0
52,Ciências da Saúde,CT,1,1,0,0,0.5
53,Ciências da Saúde,CCM,32,44,34,41,37.75
54,Ciências da Saúde,CI,0,0,0,0,0.0
55,Ciências da Saúde,CCAE,1,1,0,0,0.5
56,Ciências da Saúde,CCEN,1,1,1,2,1.25
57,Ciências da Saúde,CCA,1,4,4,5,3.5
58,Ciências da Saúde,CBIOTEC,0,1,0,0,0.25
59,Ciências da Saúde,CCSA,0,0,0,0,0.0
60,Ciências da Saúde,CCTA,1,2,1,1,1.25
61,Ciências da Saúde,CEAR,0,0,0,0,0.0
62,Ciências da Saúde,CE,1,1,0,1,0.75
63,Ciências da Saúde,CTDR,2,2,1,0,1.25
64,"Lingüística, Letras e Artes",CCHLA,14,19,13,19,16.25
65,"Lingüística, Letras e Artes",CCHSA,0,1,1,1,0.75
66,"Lingüística, Letras e Artes",CCJ,0,0,0,0,0.0
67,"Lingüística, Letras e Artes",CCS,0,0,0,0,0.0
68,"Lingüística, Letras e Artes",CT,0,0,0,0,0.0
69,"Lingüística, Letras e Artes",CCM,1,0,0,0,0.25
70,"Lingüística, Letras e Artes",CI,0,0,0,0,0.0
71,"Lingüística, Letras e Artes",CCAE,3,4,3,2,3.0
72,"Lingüística, Letras e Artes",CCEN,0,0,0,0,0.0
73,"Lingüística, Letras e Artes",CCA,0,0,0,0,0.0
74,"Lingüística, Letras e Artes",CBIOTEC,0,0,0,0,0.0
75,"Lingüística, Letras e Artes",CCSA,0,1,2,2,1.25
76,"Lingüística, Letras e Artes",CCTA,27,29,26,30,28.0
77,"Lingüística, Letras e Artes",CEAR,0,0,0,0,0.0
78,"Lingüística, Letras e Artes",CE,1,2,1,1,1.25
79,"Lingüística, Letras e Artes",CTDR,0,0,0,0,0.0
80,Ciências Agrárias,CCHLA,0,0,0,0,0.0
81,Ciências Agrárias,CCHSA,10,16,8,12,11.5
82,Ciências Agrárias,CCJ,0,0,0,0,0.0
83,Ciências Agrárias,CCS,0,0,0,0,0.0
84,Ciências Agrárias,CT,4,2,3,1,2.5
85,Ciências Agrárias,CCM,0,0,0,0,0.0
86,Ciências Agrárias,CI,0,0,0,0,0.0
87,Ciências Agrárias,CCAE,0,0,0,0,0.0
88,Ciências Agrárias,CCEN,0,1,0,0,0.25
89,Ciências Agrárias,CCA,32,34,35,30,32.75
90,Ciências Agrárias,CBIOTEC,0,0,0,0,0.0
91,Ciências Agrárias,CCSA,0,0,0,0,0.0
92,Ciências Agrárias,CCTA,0,0,0,0,0.0
93,Ciências Agrárias,CEAR,0,0,0,0,0.0
94,Ciências Agrárias,CE,0,0,0,0,0.0
95,Ciências Agrárias,CTDR,7,6,6,7,6.5
96,Ciências Humanas,CCHLA,21,24,22,30,24.25
97,Ciências Humanas,CCHSA,8,7,10,10,8.75
98,Ciências Humanas,CCJ,6,7,1,1,3.75
99,Ciências Humanas,CCS,3,2,3,2,2.5
100,Ciências Humanas,CT,0,0,1,1,0.5
101,Ciências Humanas,CCM,0,0,0,0,0.0
102,Ciências Humanas,CI,0,0,1,0,0.25
103,Ciências Humanas,CCAE,7,10,9,9,8.75
104,Ciências Humanas,CCEN,4,3,5,4,4.0
105,Ciências Humanas,CCA,4,4,4,3,3.75
106,Ciências Humanas,CBIOTEC,0,1,1,1,0.75
107,Ciências Humanas,CCSA,1,3,3,1,2.0
108,Ciências Humanas,CCTA,1,0,1,0,0.5
109,Ciências Humanas,CEAR,0,0,0,0,0.0
110,Ciências Humanas,CE,20,24,34,29,26.75
111,Ciências Humanas,CTDR,0,0,0,0,0.0
112,Multidisciplinar,CCHLA,1,2,6,5,3.5
113,Multidisciplinar,CCHSA,2,2,7,9,5.0
114,Multidisciplinar,CCJ,0,0,2,2,1.0
115,Multidisciplinar,CCS,0,3,0,3,1.5
116,Multidisciplinar,CT,1,0,3,5,2.25
117,Multidisciplinar,CCM,0,0,0,1,0.25
118,Multidisciplinar,CI,1,2,2,2,1.75
119,Multidisciplinar,CCAE,3,2,6,5,4.0
120,Multidisciplinar,CCEN,1,2,4,9,4.0
121,Multidisciplinar,CCA,1,5,3,6,3.75
122,Multidisciplinar,CBIOTEC,0,1,3,2,1.5
123,Multidisciplinar,CCSA,0,0,1,5,1.5
124,Multidisciplinar,CCTA,1,2,2,1,1.5
125,Multidisciplinar,CEAR,0,1,0,1,0.5
126,Multidisciplinar,CE,2,0,1,3,1.5
127,Multidisciplinar,CTDR,0,0,1,4,1.25
128,Ciências Biológicas,CCHLA,0,0,0,0,0.0
129,Ciências Biológicas,CCHSA,2,1,0,1,1.0
130,Ciências Biológicas,CCJ,0,0,0,0,0.0
131,Ciências Biológicas,CCS,2,2,1,1,1.5
132,Ciências Biológicas,CT,0,0,0,0,0.0
133,Ciências Biológicas,CCM,0,0,0,0,0.0
134,Ciências Biológicas,CI,0,0,0,0,0.0
135,Ciências Biológicas,CCAE,1,2,2,2,1.75
136,Ciências Biológicas,CCEN,11,12,4,11,9.5
137,Ciências Biológicas,CCA,2,2,3,1,2.0
138,Ciências Biológicas,CBIOTEC,1,2,1,1,1.25
139,Ciências Biológicas,CCSA,0,0,0,0,0.0
140,Ciências Biológicas,CCTA,0,0,0,0,0.0
141,Ciências Biológicas,CEAR,0,0,0,0,0.0
142,Ciências Biológicas,CE,1,2,1,0,1.0
143,Ciências Biológicas,CTDR,0,0,0,0,0.0
144,Engenharias,CCHLA,0,0,0,1,0.25
145,Engenharias,CCHSA,0,0,0,0,0.0
146,Engenharias,CCJ,0,0,0,0,0.0
147,Engenharias,CCS,0,0,0,0,0.0
148,Engenharias,CT,29,23,14,20,21.5
149,Engenharias,CCM,0,0,0,0,0.0
150,Engenharias,CI,1,2,1,0,1.0
151,Engenharias,CCAE,0,0,0,0,0.0
152,Engenharias,CCEN,0,0,0,0,0.0
153,Engenharias,CCA,0,0,0,0,0.0
154,Engenharias,CBIOTEC,0,0,0,0,0.0
155,Engenharias,CCSA,0,0,0,0,0.0
156,Engenharias,CCTA,0,1,0,0,0.25
157,Engenharias,CEAR,6,8,10,6,7.5
158,Engenharias,CE,0,0,0,0,0.0
159,Engenharias,CTDR,1,2,1,2,1.5
